09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:32 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:32 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:33 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:33 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | WARNING  | NeuroFocus | Лицо пользователя потеряно на 5.0 секунд
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
09:49:34 | DEBUG    | NeuroFocus | Face: no landmarks detected
09:49:34 | DEBUG    | NeuroFocus | Hand: detected=True, gesture=none
